"Word","AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
"amnesty",14,1.839,7,2.18,1.06,5.38,3.86,1.15625,2,0.8125
"amount",2,3.101,6,2.74,2.08,5.42,3.53,0.764705882,2.5,1.4
"amp",8,1.973,3,3.59,0.64,5.79,5.05,0.625,2.25,0.65
"amphibian",8,1.322,9,3.77,0.91,5.4,3.35,0.3,1.444444444,0.111111111
"amphibious",12,1.491,10,3.64,1.01,5.75,5.7,0.266666667,2.263157895,0.684210526
"ample",8,1.973,5,2.5,2.04,5.89,3.28,0.947368421,2.111111111,1.166666667
"amputation",8,1.643,10,3.76,1.58,1.84,4.86,1.944444444,1.75,0.2
"amuse",6,2.127,5,2.57,1.67,7.1,5.17,2.894736842,3.263157895,2.526315789
"amusement",4,2.283,9,2.07,1.48,7,4.82,2.277777778,3,2.105263158
"anal",12,2.143,4,3.3,1.02,4,4.29,1.526315789,0.714285714,0.571428571
"analogy",14,1.771,7,1.61,1.71,5.24,3.95,0.466666667,3.3,2.3
"analysis",8,2.751,8,2.56,1.81,5.25,3.74,1.529411765,3.941176471,1.764705882
"analyst",8,2.25,7,4.23,1.6,5,3.24,0.578947368,3.157894737,1
"analyze",6,2.22,7,2.3,1.5,5.65,4.1,1.473684211,4.65,1.1
"anarchist",12,1.477,9,2.83,1.35,2.76,4.16,0.823529412,2.571428571,0.80952381
"anarchy",14,2.017,7,2.12,1.7,3.68,4.86,1.45,1.9,0.9
"anatomy",6,2.215,7,3.59,1.52,6.29,4.43,1.25,3.65,2.4
"ancestor",2,1.94,8,3.24,1.43,6.37,3.73,0.35,2.210526316,0.842105263
"ancestral",8,1.477,9,1.96,1.39,6.6,3.6,0.8,1.7,0.45
"ancestry",8,1.398,8,2.83,1.66,6.29,3.71,0.294117647,2.45,1
"anchor",4,2.579,6,4.77,1.55,5.16,3.32,0.526315789,1.571428571,0.333333333
"ancient",4,3.044,7,2.04,1.7,7.24,3.48,0.705882353,2,0.318181818
